,0,1
1478,profile,89
1479,european,89
1480,pervasive,89
1481,brought,89
1482,receive,89
1483,personas,89
1484,govt,89
1485,wittingly,89
1486,amysiskind,89
1487,cambridgeanalytics,89
1488,invisible,88
1489,wait,88
1490,recognition,88
1491,proteccin,88
1492,along,88
1493,accedi,88
1494,tum,88
1495,konstantin,88
1496,der,87
1497,yeah,87
1498,rachaelswindon,87
1499,narendramodi,87
1500,tahoesquaw,87
1501,nytopinion,87
1502,pri,87
1503,newshour,87
1504,factor,87
1505,httpstcowxkwpuwm,87
1506,claim,87
1507,cas,87
1508,uso,87
1509,matt,87
1510,accountability,86
1511,fbpe,86
1512,repo,86
1513,geen,86
1514,ques,86
1515,putin,86
1516,analyt,86
1517,skandal,86
1518,ont,85
1519,mozilla,85
1520,mor,85
1521,approach,85
1522,elvamorris,85
1523,cube,85
1524,hacking,85
1525,harder,85
1526,firmasnn,85
1527,michaelgove,84
1528,cooperating,84
1529,lawyers,84
1530,kogan,84
1531,appalling,84
1532,offici,84
1533,plan,84
1534,meanwhile,84
1535,consultants,84
1536,situation,84
1537,breached,84
1538,united,83
1539,verilerini,83
1540,httpstcoqvmstv,83
1541,served,83
1542,fund,83
1543,easy,83
1544,kullancnn,83
1545,owned,83
1546,cambrid,83
1547,retweeted,83
1548,non,83
1549,scary,83
1550,ardndan,82
1551,gru,82
1552,pulls,82
1553,analyticann,82
1554,specific,82
1555,wernertman,82
1556,corrupt,82
1557,corrections,82
1558,aliv,82
1559,controversial,82
1560,httpstcohmquxrhyt,82
1561,supported,81
1562,kelliwardaz,81
1563,null,81
1564,conspired,81
1565,bannons,81
1566,api,81
1567,thinkprogr,81
1568,bylinemedia,81
1569,mediaguido,81
1570,larger,81
1571,comptes,81
1572,hugodixon,81
1573,veel,81
1574,irelands,81
1575,victims,81
1576,tapi,80
1577,roll,80
1578,messages,80
1579,welche,80
1580,irketinin,80
1581,catastrophe,80
1582,zerinden,80
1583,gates,80
1584,tape,80
1585,jeffflakes,80
1586,order,80
1587,dangers,80
1588,yaklak,80
1589,prescientinfo,80
1590,seat,80
1591,void,80
1592,aadhaar,80
1593,superpac,80
1594,punches,80
1595,uygulamas,80
1596,issues,80
1597,dpc,80
1598,kenyan,80
1599,despite,79
1600,shambles,79
1601,tweet,79
1602,directors,79
1603,agg,79
1604,het,79
1605,channelnews,79
1606,selling,79
1607,surveillance,79
1608,agencia,79
1609,zuckerbergs,79
